Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.29125214,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.82263947,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.98999786,NA,NA
Africa Eastern and Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.85890961,57.1661911,57.61875153,58.18001938,58.14118958,58.53063965,58.91260147,59.52685165,59.92193985,60.43492889,61.17406082,61.40871048,62.25841904,62.49517822,63.41788864,63.74940872,64.35030365,65.60041809,63.94247055,62.13386917,62.83575821,63.30950928,64.00041962,64.61788177,66.82965088,68.36135101,69.38310242,69.8347702,70.31342316,71.09519958,71.00907135,71.39261627,72.63497162,72.78562164,72.5811615,72.60040283
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.15768051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.44885063,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2660408,NA
Africa Western and Central,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.29465103,40.55083084,41.29927063,42.03242111,42.82516098,43.60493851,44.82331848,45.16337967,46.00217056,46.86951065,47.01763153,47.80644989,48.82888031,50.17557907,51.05165863,47.05715942,48.76261139,49.47245026,49.47436905,51.38341141,51.4238205,57.47114944,50.1195488,49.81003952,50.692379,51.15695953,51.76631165,52.41016006,53.00278091,54.00675964,54.81832123,55.43791962,56.48553848,59.56845856,59.51171875,59.61751175,60.03461075,60.31269836
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4054184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.03011322,NA,NA,NA,NA,NA,NA,NA,72.40000153
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.71298218,NA,NA,NA,NA,NA,NA,95.93863678,NA,NA,96.84529877,97.24697113,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arab World,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.47531128,46.94826126,47.53086853,48.11101151,48.67683029,48.89918137,49.61643982,50.50421906,51.30672836,51.98210907,52.9797287,53.85493088,54.79576874,55.81391144,56.86386108,57.68294144,58.44878006,59.59429169,60.88103867,61.82833099,63.03688812,64.11116028,64.8062973,66.24234772,67.36019897,69.98902893,70.57377625,70.23332977,69.12741089,69.87658691,70.67662811,69.58039093,70.51841736,72.27749634,75.70188904,73.27648163,77.57787323,74.9812088,76.38672638,77.17030334,74.28613281,74.60366058,75.02288055,75.23117828,75.17153168
United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.51488113,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.23529816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.03385162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.78250885,NA,98.12635803,98.28540802
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.91285706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.04071808,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1933136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
